work_year,exp_level,emp_type,salary
2024,MI,FT,136300
2024,SE,FT,250944
2024,SE,FT,178538
2024,SE,FT,180000
2024,SE,FT,140000
2024,SE,FT,250000
2024,SE,FT,180700
2024,EX,FT,243000
2024,EX,FT,163000
2024,MI,FT,250000
2024,MI,FT,190000
2024,SE,FT,150000
2024,SE,FT,90200
2024,MI,FT,162000
2024,MI,FT,128000
2024,SE,FT,140000
2024,SE,FT,107000
2024,MI,FT,155700
2024,MI,FT,75500
2024,EN,FT,111400
2024,EN,FT,62800
2024,SE,FT,234000
2024,SE,FT,146000
2024,MI,FT,172000
2024,MI,FT,75600
2024,SE,FT,204000
2024,SE,FT,105800
2024,SE,FT,246000
2024,SE,FT,132600
2024,SE,FT,190000
2024,SE,FT,152000
2024,SE,FT,125000
2024,SE,FT,110000
2024,MI,FT,84105
2024,MI,FT,76095
2024,MI,FT,203900
2024,MI,FT,116600
2024,SE,FT,143706
2024,SE,FT,84533
2024,SE,FT,201700
2024,SE,FT,122300
2024,MI,FT,45600
2024,MI,FT,26400
2024,SE,FT,194000
2024,SE,FT,96000
2024,SE,FT,70000
2024,SE,FT,40000
2024,SE,FT,165000
2024,SE,FT,165000
2024,SE,FT,142200
2024,SE,FT,116200
2024,SE,FT,175000
2024,SE,FT,100000
2024,MI,FT,80000
2024,MI,FT,52500
2024,SE,FT,213000
2024,SE,FT,120700
2024,SE,FT,200000
2024,SE,FT,160000
2024,SE,FT,169200
2024,SE,FT,130100
2024,SE,FT,227000
2024,SE,FT,122200
2024,MI,FT,136400
2024,MI,FT,77000
2024,SE,FT,179000
2024,SE,FT,140000
2024,SE,FT,247600
2024,SE,FT,127300
2024,SE,FT,120529
2024,SE,FT,96428
2024,SE,FT,168000
2024,SE,FT,90900
2024,SE,FT,209000
2024,SE,FT,171000
2024,EX,FT,200000
2024,EX,FT,175000
2024,SE,FT,243000
2024,SE,FT,192000
2024,SE,FT,170000
2024,SE,FT,25000
2024,SE,FT,314100
2024,SE,FT,169700
2024,SE,FT,160000
2024,SE,FT,128000
2024,SE,FT,178500
2024,SE,FT,156312
2024,MI,FT,208200
2024,MI,FT,124900
2024,MI,FT,300000
2024,MI,FT,130000
2024,SE,FT,200000
2024,SE,FT,180000
2024,MI,FT,200000
2024,MI,FT,160000
2024,SE,FT,355000
2024,SE,FT,213500
2024,SE,FT,185000
2024,SE,FT,102600
2024,EN,FT,50000
2024,MI,FT,110000
2024,MI,FT,90000
2024,MI,FT,108600
2024,MI,FT,74400
2024,MI,FT,212800
2024,MI,FT,115100
2024,SE,FT,202800
2024,SE,FT,104300
2024,EN,FT,225000
2024,EN,FT,150000
2024,EN,FT,129000
2024,EN,FT,86000
2022,MI,FT,360000
2024,MI,FT,172000
2024,MI,FT,75600
2024,MI,FT,265400
2024,MI,FT,127400
2024,SE,FT,363000
2024,SE,FT,139800
